139,210377,058056,058056,2021-08-20,S,9,8
140,210377,058056,058056,2021-08-20,E,4,10
141,210445,203457,203457,2021-08-20,S,9,28
142,210465,058170,058170,2021-08-20,S,9,13
143,210465,058170,058170,2021-08-20,E,4,13
144,210527,058029,058029,2021-08-20,S,9,15
145,210503,203452,203452,2021-08-20,S,9,26
146,210503,203452,203452,2021-08-20,E,4,23
147,,058170,058170,2021-08-23,E,4,300
148,210223,203457,203457,2021-08-20,S,9,28
149,210474,058052,058052,2021-08-20,S,9,12
150,210240,058052,058052,2021-08-20,S,9,12
151,210240,058052,058052,2021-08-20,E,4,14
152,210360,058170,058170,2021-08-20,S,9,14
153,210360,058170,058170,2021-08-20,E,4,14
154,210260,058014,058014,2021-08-20,S,9,14
155,210260,058014,058014,2021-08-20,E,4,13
156,210220,058016,058016,2021-08-20,S,9,28
157,210220,058016,058016,2021-08-20,E,4,28
158,210419,058063,058063,2021-08-20,S,9,28
159,210486,058014,058014,2021-08-20,S,9,14
160,210486,058014,058014,2021-08-20,E,4,12
161,210271,058208,058208,2021-08-20,S,9,27
162,210271,058208,058208,2021-08-20,E,4,28
163,210526,058029,058029,2021-08-20,S,9,27
164,210526,058029,058029,2021-08-20,E,4,28
165,210389,058050,058050,2021-08-20,S,9,6
166,210389,058050,058050,2021-08-20,E,4,6
167,210413,058170,058170,2021-08-20,E,4,14
168,210009,000052,000052,2021-08-20,S,9,26
169,210009,000052,000052,2021-08-20,E,4,21
170,210430,203457,203457,2021-08-23,S,9,28
171,210450,000052,000052,2021-08-23,S,9,28
172,210476,058208,058208,2021-08-23,S,9,14
173,210476,058208,058208,2021-08-23,E,4,14
174,210477,058136,058136,2021-08-23,S,9,13
175,210477,058136,058136,2021-08-23,E,4,14
176,210376,058052,058052,2021-08-23,S,9,12
177,210376,058052,058052,2021-08-23,E,4,6
178,210225,058208,058208,2021-08-23,S,9,28
179,210225,058208,058208,2021-08-23,E,4,28
180,210224,058032,058032,2021-08-23,S,9,14
181,210224,058032,058032,2021-08-23,E,4,14
182,210534,058170,058170,2021-08-23,S,9,12
183,210534,058170,058170,2021-08-23,E,4,2
184,210522,058023,058023,2021-08-23,S,9,28
185,210522,058023,058023,2021-08-23,E,4,28
186,210226,058014,058014,2021-08-23,S,9,28
187,210479,058052,058052,2021-08-23,S,9,16
188,210479,058052,058052,2021-08-23,E,4,16
189,210521,058170,058170,2021-08-23,S,9,14
190,210481,058052,058052,2021-08-23,S,9,14
191,210279,203452,203452,2021-08-23,S,9,28
192,210418,203457,203457,2021-08-23,S,9,28
193,210418,203457,203457,2021-08-23,E,4,28
194,210010,000052,000052,2021-08-23,S,9,30
195,210010,000052,000052,2021-08-23,E,4,30
196,210480,058136,058136,2021-08-23,S,9,14
197,210480,058136,058136,2021-08-23,E,4,14
198,210417,058063,058063,2021-08-23,S,9,28
199,,058107,058107,2021-08-24,E,4,200
200,,203457,203457,2021-08-24,E,4,147
201,,203457,203457,2021-08-24,S,9,10
202,210538,058050,058050,2021-08-24,S,9,7
203,210538,058050,058050,2021-08-24,E,4,7
204,210752,058029,058029,2021-08-24,S,9,1
205,,058216,058216,2021-08-24,E,4,28
206,210644,058185,058185,2021-08-24,S,9,11
207,210644,058185,058185,2021-08-24,E,4,13
208,210415,058023,058023,2021-08-24,S,9,24
209,210415,058023,058023,2021-08-24,E,4,28
210,210500,058052,058052,2021-08-24,S,9,7
211,210633,058090,058090,2021-08-24,S,9,15
212,210633,058090,058090,2021-08-24,E,4,13
213,210626,058056,058056,2021-08-24,S,9,10
214,210626,058056,058056,2021-08-24,E,4,11
215,210585,058023,058023,2021-08-24,S,9,28
216,210585,058023,058023,2021-08-24,E,4,28
217,210449,000052,000052,2021-08-24,S,9,27
218,210253,000052,000052,2021-08-24,S,9,24
219,210533,058170,058170,2021-08-24,S,9,14
220,210478,058052,058052,2021-08-24,S,9,14
221,210478,058052,058052,2021-08-24,E,4,14
222,210428,058063,058063,2021-08-24,S,9,28
223,210428,058063,058063,2021-08-24,E,4,26
224,210638,058208,058208,2021-08-24,S,9,14
225,210638,058208,058208,2021-08-24,E,4,14
