89,"To A T",2021-08-17,2021-08-20,2021-08-20,9238.75
88,"THE BLUE SKY",2021-08-16,2021-08-25,2021-08-25,750.0
87,NEO-TAGUS,2021-08-16,2021-08-18,2021-08-18,98.0
86,NEO-TAGUS,2021-08-16,2021-08-18,2021-08-18,122.76
85,NEO-TAGUS,2021-08-16,2021-08-18,2021-08-18,116.98
84,"TELEFONICA BRASIL S.A.",2021-08-13,2021-08-15,2021-08-16,153.7
83,"INGRAM MICRO BRASIL LTDA",2021-08-12,2021-09-08,2021-09-08,646.24
82,"ASSISNET SERVICOS DE INFORMATICA LTDA",2021-08-04,2021-08-16,2021-08-16,293.02
81,"ASSISNET SERVICOS DE INFORMATICA LTDA",2021-08-01,2021-08-20,2021-08-20,1035.22
80,"ACACIA CONSULTORIA",2021-08-04,2021-08-25,2021-08-25,2394.62
79,CLARO,2021-08-01,2021-08-05,2021-08-05,272.88
78,"TOTVS S.A.",2021-07-12,2021-08-18,2021-08-18,6622.93
77,"TOTVS S.A.",2021-07-12,2021-08-16,2021-08-16,4623.17
76,"TOTVS S.A.",2021-07-12,2021-08-05,2021-08-05,181.37
75,NEMAG,2021-08-01,2021-08-10,2021-08-10,4854.5
74,"INTEMOBILE DO BRASIL LTDA",2021-07-21,2021-08-22,2021-08-22,5240.0
73,"THE BLUE SKY",2021-07-23,2021-07-25,2021-07-26,750.0
72,"INGRAM MICRO BRASIL LTDA",2021-07-19,2021-08-16,2021-08-16,45.85
71,NEO-TAGUS,2021-07-01,2021-07-14,2021-07-14,116.98
70,NEO-TAGUS,2021-07-01,2021-07-14,2021-07-14,122.76
69,NEO-TAGUS,2021-07-01,2021-07-14,2021-07-14,98.0
68,NEMAG,2021-07-01,2021-07-12,2021-07-12,3992.0
67,"ACACIA CONSULTORIA",2021-07-01,2021-07-26,2021-07-26,2394.62
66,"TOTVS S.A.",2021-07-01,2021-07-05,2021-07-05,181.37
65,"TOTVS S.A.",2021-06-04,2021-06-07,2021-06-07,181.37
64,"TOTVS S.A.",2021-07-01,2021-07-14,2021-07-14,4623.17
63,"TOTVS S.A.",2021-06-10,2021-06-14,2021-06-14,4848.64
62,"TOTVS S.A.",2021-07-10,2021-07-19,2021-07-19,6945.92
61,"TOTVS S.A.",2021-06-10,2021-06-19,2021-06-19,6945.92
60,"ASSISNET SERVICOS DE INFORMATICA LTDA",2021-07-01,2021-07-20,2021-07-20,1035.22
59,"ASSISNET SERVICOS DE INFORMATICA LTDA",2021-07-01,2021-07-15,2021-07-15,268.28
58,"INTEMOBILE DO BRASIL LTDA",2021-06-22,2021-07-22,2021-07-22,5240.0
