Produto,Item.,Rot.,Und.,"End. Sep.","Qtde Liberada",Picking,Revisão,Ressuprimento,"Qtde Geral Disp.","Transito de Saida","Total Geral",Status
1201.13.06X02L,"AMAC.SUPREMA-LA FELICITA-AMARELO-06X02L",D,CX,2.A.103.1,0,0,0,0,0,0,0,"Trânsito de Saída"
1201.13.06X02L,"AMAC.SUPREMA-LA FELICITA-AMARELO-06X02L",D,CX,2.A.103.1,0,0,120,0,0,0,0,Revisão
1201.14.06X02L,"AMAC.SUPREMA-EXP.CARINHO-BRANCO/LILAS -06X02L",C,CX,2.A.113.1,1500,-44,0,0,1500,0,1456,Liberado
1201.14.06X02L,"AMAC.SUPREMA-EXP.CARINHO-BRANCO/LILAS -06X02L",C,CX,2.A.113.1,0,0,0,0,0,0,0,"Trânsito de Saída"
1201.14.06X02L,"AMAC.SUPREMA-EXP.CARINHO-BRANCO/LILAS -06X02L",C,CX,2.A.113.1,0,117,0,117,117,0,234,Ressuprimento
1301.15.03X05L,"DESINF.SUPREMA EXTRATO DE EUCALIPTO-03X05L",B,CX,2.A.97.1,1599,-39,0,0,1599,0,1560,Liberado
1301.15.03X05L,"DESINF.SUPREMA EXTRATO DE EUCALIPTO-03X05L",B,CX,2.A.97.1,0,0,0,0,0,312,0,"Trânsito de Saída"
1301.15.03X05L,"DESINF.SUPREMA EXTRATO DE EUCALIPTO-03X05L",B,CX,2.A.97.1,0,0,0,0,0,0,0,Revisão
1301.15.03X05L,"DESINF.SUPREMA EXTRATO DE EUCALIPTO-03X05L",B,CX,2.A.97.1,0,117,0,117,117,0,234,Ressuprimento
1301.15.06X02L,"DESINF.SUPREMA EXTRATO DE EUCALIPTO-06X02L",B,CX,2.A.105.1,1860,-182,0,0,1860,0,1678,Liberado
1301.15.06X02L,"DESINF.SUPREMA EXTRATO DE EUCALIPTO-06X02L",B,CX,2.A.105.1,0,0,0,0,0,300,0,"Trânsito de Saída"
1301.15.06X02L,"DESINF.SUPREMA EXTRATO DE EUCALIPTO-06X02L",B,CX,2.A.105.1,0,0,300,0,0,0,0,Revisão
1301.15.06X02L,"DESINF.SUPREMA EXTRATO DE EUCALIPTO-06X02L",B,CX,2.A.105.1,0,288,0,288,288,0,576,Ressuprimento
1301.17.06X02L,"DESINF.SUPREMA FLORES DO CAMPO-06X02L",B,CX,2.A.106.1,1560,-69,0,0,1560,0,1491,Liberado
1301.17.06X02L,"DESINF.SUPREMA FLORES DO CAMPO-06X02L",B,CX,2.A.106.1,0,0,0,0,0,60,0,"Trânsito de Saída"
1301.17.06X02L,"DESINF.SUPREMA FLORES DO CAMPO-06X02L",B,CX,2.A.106.1,0,0,240,0,0,0,0,Revisão
1301.17.06X02L,"DESINF.SUPREMA FLORES DO CAMPO-06X02L",B,CX,2.A.106.1,0,180,0,180,180,0,360,Ressuprimento
1301.18.03X05L,"DESINF.SUPREMA LAVANDA BOUQUET 03X05L",A,CX,2.A.98.1,2769,-59,0,0,2769,0,2710,Liberado
1301.18.03X05L,"DESINF.SUPREMA LAVANDA BOUQUET 03X05L",A,CX,2.A.98.1,0,0,0,0,0,273,0,"Trânsito de Saída"
1301.18.03X05L,"DESINF.SUPREMA LAVANDA BOUQUET 03X05L",A,CX,2.A.98.1,0,0,78,0,0,0,0,Revisão
1301.18.03X05L,"DESINF.SUPREMA LAVANDA BOUQUET 03X05L",A,CX,2.A.98.1,0,137,0,137,137,0,274,Ressuprimento
1301.18.06X02L,"DESINF.SUPREMA LAVANDA BOUQUET-06X02L",A,CX,2.A.107.1,2640,-339,0,0,2640,0,2301,Liberado
1301.18.06X02L,"DESINF.SUPREMA LAVANDA BOUQUET-06X02L",A,CX,2.A.107.1,0,0,0,0,0,360,0,"Trânsito de Saída"
1301.18.06X02L,"DESINF.SUPREMA LAVANDA BOUQUET-06X02L",A,CX,2.A.107.1,0,0,103,0,0,0,0,Revisão
1301.18.06X02L,"DESINF.SUPREMA LAVANDA BOUQUET-06X02L",A,CX,2.A.107.1,0,426,0,426,426,0,852,Ressuprimento
1301.19.03X05L,"DESINF.SUPREMA FLORES DO CAMPO 03X05L",B,CX,2.A.90.1,312,2,0,0,312,0,314,Liberado
1301.19.03X05L,"DESINF.SUPREMA FLORES DO CAMPO 03X05L",B,CX,2.A.90.1,0,0,0,0,0,0,0,"Trânsito de Saída"
1301.19.03X05L,"DESINF.SUPREMA FLORES DO CAMPO 03X05L",B,CX,2.A.90.1,0,39,0,39,39,0,78,Ressuprimento
1301.19.06X02L,"DESINF.SUPREMA PINHO - 06X02L",B,CX,2.A.109.1,1500,-188,0,0,1500,0,1312,Liberado
1301.19.06X02L,"DESINF.SUPREMA PINHO - 06X02L",B,CX,2.A.109.1,0,0,0,0,0,240,0,"Trânsito de Saída"
1301.19.06X02L,"DESINF.SUPREMA PINHO - 06X02L",B,CX,2.A.109.1,0,0,420,0,0,0,0,Revisão
1301.19.06X02L,"DESINF.SUPREMA PINHO - 06X02L",B,CX,2.A.109.1,0,282,0,282,282,0,564,Ressuprimento
1301.20.06X02L,"DESINF.SUPREMA OCEANIC - 06X02L",B,CX,2.A.108.1,1200,-119,0,0,1200,0,1081,Liberado
1301.20.06X02L,"DESINF.SUPREMA OCEANIC - 06X02L",B,CX,2.A.108.1,0,0,0,0,0,120,0,"Trânsito de Saída"
1301.20.06X02L,"DESINF.SUPREMA OCEANIC - 06X02L",B,CX,2.A.108.1,0,0,729,0,0,0,0,Revisão
1301.20.06X02L,"DESINF.SUPREMA OCEANIC - 06X02L",B,CX,2.A.108.1,0,180,0,180,180,0,360,Ressuprimento
1401.19.24X500,"LAVA LOUCAS SUPREMA FRUTAS VERMELHAS-24X500ML",B,CX,2.A.78.1,2808,32,0,0,2808,0,2840,Liberado
1401.19.24X500,"LAVA LOUCAS SUPREMA FRUTAS VERMELHAS-24X500ML",B,CX,2.A.78.1,0,0,0,0,0,288,0,"Trânsito de Saída"
1401.19.24X500,"LAVA LOUCAS SUPREMA FRUTAS VERMELHAS-24X500ML",B,CX,2.A.78.1,0,0,0,0,0,0,0,Revisão
1401.19.24X500,"LAVA LOUCAS SUPREMA FRUTAS VERMELHAS-24X500ML",B,CX,2.A.78.1,0,180,0,180,180,0,360,Ressuprimento
1401.20.24X500,"LAVA LOUCAS SUPREMA LIMAO/ALOEVERA-24X500ML",B,CX,2.A.81.1,1872,-8,0,0,1872,0,1864,Liberado
1401.20.24X500,"LAVA LOUCAS SUPREMA LIMAO/ALOEVERA-24X500ML",B,CX,2.A.81.1,0,0,0,0,0,0,0,"Trânsito de Saída"
1401.20.24X500,"LAVA LOUCAS SUPREMA LIMAO/ALOEVERA-24X500ML",B,CX,2.A.81.1,0,0,251,0,0,0,0,Revisão
1401.20.24X500,"LAVA LOUCAS SUPREMA LIMAO/ALOEVERA-24X500ML",B,CX,2.A.81.1,0,288,0,288,288,0,576,Ressuprimento
1401.21.03X05L,"LAVA LOUCAS SUPREMA NATURAL CLEAR-03X05L",E,CX,2.A.89.1,1170,-129,0,0,1170,0,1041,Liberado
1401.21.03X05L,"LAVA LOUCAS SUPREMA NATURAL CLEAR-03X05L",E,CX,2.A.89.1,0,0,0,0,0,0,0,"Trânsito de Saída"
1401.21.03X05L,"LAVA LOUCAS SUPREMA NATURAL CLEAR-03X05L",E,CX,2.A.89.1,0,0,319,0,0,0,0,Revisão
1401.21.03X05L,"LAVA LOUCAS SUPREMA NATURAL CLEAR-03X05L",E,CX,2.A.89.1,0,195,0,195,195,0,390,Ressuprimento
1401.21.24X500,"LAVA LOUCAS SUPREMA NATURAL CLEAR-24X500ML",A,CX,2.A.84.1,3384,359,0,0,3384,0,3743,Liberado
1401.21.24X500,"LAVA LOUCAS SUPREMA NATURAL CLEAR-24X500ML",A,CX,2.A.84.1,0,0,0,0,0,792,0,"Trânsito de Saída"
1401.21.24X500,"LAVA LOUCAS SUPREMA NATURAL CLEAR-24X500ML",A,CX,2.A.84.1,0,0,144,0,0,0,0,Revisão
1401.22.03X05L,"LAVA LOUCAS SUPREMA NEUTRO-03X05L",A,CX,2.A.91.1,4814,131,0,0,4814,0,4945,Liberado
1401.22.03X05L,"LAVA LOUCAS SUPREMA NEUTRO-03X05L",A,CX,2.A.91.1,0,0,0,0,0,585,0,"Trânsito de Saída"
1401.22.03X05L,"LAVA LOUCAS SUPREMA NEUTRO-03X05L",A,CX,2.A.91.1,0,0,156,0,0,0,0,Revisão
1401.22.24X500,"LAVA LOUCAS SUPREMA NEUTRO-24X500ML",A,CX,2.A.87.1,5904,54,0,0,5904,0,5958,Liberado
1401.22.24X500,"LAVA LOUCAS SUPREMA NEUTRO-24X500ML",A,CX,2.A.87.1,0,0,0,0,0,504,0,"Trânsito de Saída"
1401.22.24X500,"LAVA LOUCAS SUPREMA NEUTRO-24X500ML",A,CX,2.A.87.1,0,0,648,0,0,0,0,Revisão
1401.22.24X500,"LAVA LOUCAS SUPREMA NEUTRO-24X500ML",A,CX,2.A.87.1,0,296,0,296,296,0,592,Ressuprimento
1401.23.24X500,"LAVA LOUCAS SUPREMA COCO - 24X500ML",B,CX,2.A.75.1,1872,-169,0,0,1872,0,1703,Liberado
1401.23.24X500,"LAVA LOUCAS SUPREMA COCO - 24X500ML",B,CX,2.A.75.1,0,0,0,0,0,72,0,"Trânsito de Saída"
1401.23.24X500,"LAVA LOUCAS SUPREMA COCO - 24X500ML",B,CX,2.A.75.1,0,0,280,0,0,0,0,Revisão
1401.23.24X500,"LAVA LOUCAS SUPREMA COCO - 24X500ML",B,CX,2.A.75.1,0,387,0,387,387,0,774,Ressuprimento
1501.23.03X05L,"LAVA ROUPAS LIQUIDO SUPREMA ULTRA ACAO-03X05L",A,CX,2.A.101.1,2262,39,0,0,2262,0,2301,Liberado
1501.23.03X05L,"LAVA ROUPAS LIQUIDO SUPREMA ULTRA ACAO-03X05L",A,CX,2.A.101.1,0,0,0,0,0,117,0,"Trânsito de Saída"
1501.23.03X05L,"LAVA ROUPAS LIQUIDO SUPREMA ULTRA ACAO-03X05L",A,CX,2.A.101.1,0,0,181,0,0,0,0,Revisão
1501.23.03X05L,"LAVA ROUPAS LIQUIDO SUPREMA ULTRA ACAO-03X05L",A,CX,2.A.101.1,0,39,0,39,39,0,78,Ressuprimento
1501.23.06X03L,"LAVA ROUPAS LIQUIDO SUPREMA ULTRA ACAO-06X03L",D,CX,2.A.116.1,1720,-61,0,0,1720,0,1659,Liberado
1501.23.06X03L,"LAVA ROUPAS LIQUIDO SUPREMA ULTRA ACAO-06X03L",D,CX,2.A.116.1,0,0,0,0,0,0,0,"Trânsito de Saída"
1501.23.06X03L,"LAVA ROUPAS LIQUIDO SUPREMA ULTRA ACAO-06X03L",D,CX,2.A.116.1,0,0,275,0,0,0,0,Revisão
1501.23.06X03L,"LAVA ROUPAS LIQUIDO SUPREMA ULTRA ACAO-06X03L",D,CX,2.A.116.1,0,121,0,121,121,0,242,Ressuprimento
1501.23.12X01L,"LAVA ROUPAS LIQUIDO SUPREMA ULTRA ACAO-12X01L",D,CX,2.A.112.1,600,7,0,0,600,0,607,Liberado
1501.23.12X01L,"LAVA ROUPAS LIQUIDO SUPREMA ULTRA ACAO-12X01L",D,CX,2.A.112.1,0,0,0,0,0,0,0,"Trânsito de Saída"
1501.23.12X01L,"LAVA ROUPAS LIQUIDO SUPREMA ULTRA ACAO-12X01L",D,CX,2.A.112.1,0,0,0,0,0,0,0,Revisão
1501.23.12X01L,"LAVA ROUPAS LIQUIDO SUPREMA ULTRA ACAO-12X01L",D,CX,2.A.112.1,0,60,0,60,60,0,120,Ressuprimento
1501.24.03X05L,"LAVA ROUPAS LIQUIDO SUPREMA AZUL - 03X05L",A,CX,2.A.99.1,1365,29,0,0,1365,0,1394,Liberado
1501.24.03X05L,"LAVA ROUPAS LIQUIDO SUPREMA AZUL - 03X05L",A,CX,2.A.99.1,0,0,0,0,0,0,0,"Trânsito de Saída"
1501.24.03X05L,"LAVA ROUPAS LIQUIDO SUPREMA AZUL - 03X05L",A,CX,2.A.99.1,0,0,87,0,0,0,0,Revisão
