Endereço,Produto,Descrição,Qtde,"Cxs Pallet"
2.E.52.1,1501.24.06X03L,"LAVA ROUPAS LIQUIDO SUPREMA  AZUL - 06X03L",40.0,40
2.E.52.3,1401.19.24X500,"LAVA LOUCAS SUPREMA FRUTAS VERMELHAS-24X500ML",72.0,72
2.E.52.4,1001.01.12X01L,"AGUA SANITARIA SUPREMA-12X01L",70.0,70
2.E.53.1,1501.24.06X03L,"LAVA ROUPAS LIQUIDO SUPREMA  AZUL - 06X03L",40.0,40
2.E.53.2,1301.18.03X05L,"DESINF.SUPREMA LAVANDA BOUQUET 03X05L",42.0,42
2.E.53.3,1401.19.24X500,"LAVA LOUCAS SUPREMA FRUTAS VERMELHAS-24X500ML",72.0,72
2.E.53.4,1501.25.12X01L,"LAVA ROUPAS LIQUIDO SUPREMA COCO - 12X01L",,60
2.E.54.1,1201.11.03X05L,"AMAC.SUPREMA-ALEGRES ENCANTO-AZUL-03X05L",42.0,42
2.E.54.4,1501.23.12X01L,"LAVA ROUPAS LIQUIDO SUPREMA ULTRA ACAO-12X01L",60.0,60
2.E.55.1,1501.24.12X01L,"LAVA ROUPAS LIQUIDO SUPREMA AZUL - 12X01L",60.0,60
2.E.55.2,1501.24.03X05L,"LAVA ROUPAS LIQUIDO SUPREMA AZUL - 03X05L",39.0,39
2.E.55.3,1301.15.06X02L,"DESINF.SUPREMA EXTRATO DE EUCALIPTO-06X02L",60.0,60
2.E.55.4,1501.23.12X01L,"LAVA ROUPAS LIQUIDO SUPREMA ULTRA ACAO-12X01L",60.0,60
2.E.56.1,1501.24.06X03L,"LAVA ROUPAS LIQUIDO SUPREMA  AZUL - 06X03L",40.0,40
2.E.56.2,1301.18.03X05L,"DESINF.SUPREMA LAVANDA BOUQUET 03X05L",42.0,42
2.E.56.4,1201.11.06X02L,"AMAC.SUPREMA-ALEGRES ENCANTO-AZUL-06X2L",60.0,60
2.E.57.1,1201.11.03X05L,"AMAC.SUPREMA-ALEGRES ENCANTO-AZUL-03X05L",42.0,42
2.E.57.2,1401.19.24X500,"LAVA LOUCAS SUPREMA FRUTAS VERMELHAS-24X500ML",72.0,72
2.E.57.3,1301.21.06X02L,"DESINF. SUPREMA CLORADO 06X02L",75.0,75
2.E.57.4,6501.03.12X01L,"REMOVEDOR SUPREMA FLORATA 1 L",70.0,70
2.E.58.1,1501.23.03X05L,"LAVA ROUPAS LIQUIDO SUPREMA ULTRA ACAO-03X05L",39.0,39
2.E.58.2,1401.22.24X500,"LAVA LOUCAS SUPREMA NEUTRO-24X500ML",72.0,72
2.E.58.3,1501.23.12X01LE,"LAVA ROUPAS SUPREMA ULTRA ACAO-12X01L EXP",60.0,60
2.E.58.4,1401.21.24X500,"LAVA LOUCAS SUPREMA NATURAL CLEAR-24X500ML",72.0,72
2.E.63.3,1301.15.03X05L,"DESINF.SUPREMA EXTRATO DE EUCALIPTO-03X05L",42.0,42
2.E.63.4,1501.24.03X05L,"LAVA ROUPAS LIQUIDO SUPREMA AZUL - 03X05L",39.0,39
2.E.64.2,1401.19.24X500,"LAVA LOUCAS SUPREMA FRUTAS VERMELHAS-24X500ML",72.0,72
2.E.64.3,1501.24.06X03L,"LAVA ROUPAS LIQUIDO SUPREMA  AZUL - 06X03L",40.0,40
2.E.64.4,1401.23.24X500,"LAVA LOUCAS SUPREMA COCO - 24X500ML",72.0,72
2.E.65.1,1301.17.06X02L,"DESINF.SUPREMA FLORES DO CAMPO-06X02L",120.0,60
2.E.65.3,1501.24.03X05L,"LAVA ROUPAS LIQUIDO SUPREMA AZUL - 03X05L",39.0,39
2.E.65.4,1201.12.06X02L,"AMAC.SUPREMA-TOQUE DE AMOR-ROSA-06X02L",,60
2.E.66.4,1501.24.06X03L,"LAVA ROUPAS LIQUIDO SUPREMA  AZUL - 06X03L",40.0,40
2.E.67.3,1501.23.03X05L,"LAVA ROUPAS LIQUIDO SUPREMA ULTRA ACAO-03X05L",39.0,39
2.E.67.4,1301.17.06X02L,"DESINF.SUPREMA FLORES DO CAMPO-06X02L",60.0,60
2.E.68.2,1501.25.03X05L,"LAVA ROUPAS LIQUIDO SUPREMA COCO - 03X05L",39.0,39
2.E.68.4,1401.21.03X05L,"LAVA LOUCAS SUPREMA NATURAL CLEAR-03X05L",,39
2.E.69.3,1401.19.24X500,"LAVA LOUCAS SUPREMA FRUTAS VERMELHAS-24X500ML",72.0,72
2.E.70.1,1001.01.12X01L,"AGUA SANITARIA SUPREMA-12X01L",140.0,70
2.E.70.4,1201.11.06X02L,"AMAC.SUPREMA-ALEGRES ENCANTO-AZUL-06X2L",60.0,60
2.E.71.1,1201.11.03X05L,"AMAC.SUPREMA-ALEGRES ENCANTO-AZUL-03X05L",84.0,42
2.E.71.2,1201.14.06X02L,"AMAC.SUPREMA-EXP.CARINHO-BRANCO/LILAS -06X02L",60.0,60
2.E.71.4,1501.23.12X01L,"LAVA ROUPAS LIQUIDO SUPREMA ULTRA ACAO-12X01L",60.0,60
2.E.72.1,1401.22.03X05L,"LAVA LOUCAS SUPREMA NEUTRO-03X05L",78.0,39
2.E.72.2,1201.14.06X02L,"AMAC.SUPREMA-EXP.CARINHO-BRANCO/LILAS -06X02L",60.0,60
2.E.72.3,1301.15.06X02L,"DESINF.SUPREMA EXTRATO DE EUCALIPTO-06X02L",60.0,60
2.E.72.4,1301.15.06X02L,"DESINF.SUPREMA EXTRATO DE EUCALIPTO-06X02L",60.0,60
2.E.73.4,1301.17.06X02L,"DESINF.SUPREMA FLORES DO CAMPO-06X02L",60.0,60
2.E.74.1,1301.21.06X02L,"DESINF. SUPREMA CLORADO 06X02L",150.0,75
2.E.74.3,1201.12.03X05L,"AMAC.SUPREMA-TOQUE DE AMOR-ROSA 03X05L",42.0,42
2.E.75.1,1301.17.06X02L,"DESINF.SUPREMA FLORES DO CAMPO-06X02L",120.0,60
2.E.75.4,1301.15.06X02L,"DESINF.SUPREMA EXTRATO DE EUCALIPTO-06X02L",60.0,60
2.E.76.1,1201.11.06X02L,"AMAC.SUPREMA-ALEGRES ENCANTO-AZUL-06X2L",120.0,60
2.E.76.3,1301.15.03X05L,"DESINF.SUPREMA EXTRATO DE EUCALIPTO-03X05L",42.0,42
2.E.76.4,1201.11.06X02L,"AMAC.SUPREMA-ALEGRES ENCANTO-AZUL-06X2L",60.0,60
