Endereço,Produto,Descrição,Qtde,"Cxs Pallet"
2.E.8.1,6501.04.12X01L,"REMOVEDOR SUPREMA VERBENA 1 L",70.0,70
2.E.8.2,1301.21.06X02L,"DESINF. SUPREMA CLORADO 06X02L",75.0,75
2.E.8.3,6501.02.12X01L,"REMOVEDOR SUPREMA 1 L",70.0,70
2.E.8.4,1501.24.12X01LE,"LAVA ROUPAS SUPREMA AZUL - 12X01L EXP",60.0,60
2.E.9.1,1501.24.06X03LE,"LAVA ROUPAS SUPREMA AZUL - 06X03L EXP",40.0,40
2.E.9.2,1201.14.06X02L,"AMAC.SUPREMA-EXP.CARINHO-BRANCO/LILAS -06X02L",60.0,60
2.E.9.3,4001.25.03X05L,"CLORO SUPREMA 2,5 - 03X05L",56.0,56
2.E.9.4,1501.24.03X05L,"LAVA ROUPAS LIQUIDO SUPREMA AZUL - 03X05L",39.0,39
2.E.10.1,1301.19.03X05L,"DESINF.SUPREMA FLORES DO CAMPO 03X05L",42.0,42
2.E.10.3,1301.17.06X02L,"DESINF.SUPREMA FLORES DO CAMPO-06X02L",60.0,60
2.E.10.4,6501.03.12X01L,"REMOVEDOR SUPREMA FLORATA 1 L",70.0,70
2.E.11.1,1501.25.06X03L,"LAVA ROUPAS LIQUIDO SUPREMA COCO - 06X03L",40.0,40
2.E.11.2,6501.02.12X01L,"REMOVEDOR SUPREMA 1 L",70.0,70
2.E.11.3,1301.15.03X05L,"DESINF.SUPREMA EXTRATO DE EUCALIPTO-03X05L",42.0,42
2.E.11.4,1501.25.06X03L,"LAVA ROUPAS LIQUIDO SUPREMA COCO - 06X03L",40.0,40
