226464,"RAS LOGISTICA EIRELLI                   ","COMERCIAL OSWALDO CRUZ LTDA             ",FATURADO,2022-12-16,2022-12-16,16/12/2022,14:43,249.0
226464,"RAS LOGISTICA EIRELLI                   ","COMERCIAL OSWALDO CRUZ LTDA             ",FATURADO,2022-12-16,2022-12-16,16/12/2022,14:43,117.0
226464,"RAS LOGISTICA EIRELLI                   ","COMERCIAL OSWALDO CRUZ LTDA             ",FATURADO,2022-12-16,2022-12-16,16/12/2022,14:43,236.0
226464,"RAS LOGISTICA EIRELLI                   ","COMERCIAL OSWALDO CRUZ LTDA             ",FATURADO,2022-12-16,2022-12-16,16/12/2022,14:43,197.0
226240,"RETIRA                                  ","ALIANCA DISTRIBUIDORA ALIMENTICIA LTDA  ",FATURADO,2022-12-15,2022-12-15,15/12/2022,21:52,864.0
226110,"JOSE PAULO AZEVEDO DE AGUIAR TRANSPORTES","SUPERMERCADO VERAN LTDA                 ",FATURADO,2022-12-15,2022-12-15,15/12/2022,23:10,125.0
226110,"JOSE PAULO AZEVEDO DE AGUIAR TRANSPORTES","SUPERMERCADO VERAN LTDA                 ",FATURADO,2022-12-15,2022-12-15,15/12/2022,23:10,748.0
226401,"AZETRANSPORTES LTDA-ME                  ","COMERCIAL MORAES  ARARAS LTDA.          ","EM ROMANEIO",2022-12-16,,,,17.0
226401,"AZETRANSPORTES LTDA-ME                  ","COMERCIAL MORAES  ARARAS LTDA.          ","EM ROMANEIO",2022-12-16,,,,170.0
226465,"RAS LOGISTICA EIRELLI                   ","E & C MARTINS MERCADO LTDA              ",FATURADO,2022-12-16,2022-12-16,17/12/2022,16:14,2.0
226465,"RAS LOGISTICA EIRELLI                   ","E & C MARTINS MERCADO LTDA              ",FATURADO,2022-12-16,2022-12-16,17/12/2022,16:14,70.0
226465,"RAS LOGISTICA EIRELLI                   ","MINI MERCADO FLOR DE LOTUS LTDA         ",FATURADO,2022-12-16,2022-12-16,17/12/2022,16:14,74.0
225967,"RETIRA                                  ","VITAL DIST. RIBEIRO E FILHOS LTDA       ",FATURADO,2022-12-17,2022-12-16,16/12/2022,20:57,50.0
225967,"RETIRA                                  ","VITAL DIST. RIBEIRO E FILHOS LTDA       ",FATURADO,2022-12-17,2022-12-16,16/12/2022,20:57,1080.0
226045,"FIVELOG TRANSPORTES E LOGISTICA LTDA    ","COM.DE.ALIM.BURITI                      ",FATURADO,2022-12-15,2022-12-15,15/12/2022,18:10,20.0
226045,"FIVELOG TRANSPORTES E LOGISTICA LTDA    ","COM.DE.ALIM.BURITI                      ",FATURADO,2022-12-15,2022-12-15,15/12/2022,18:10,605.0
226401,"AZETRANSPORTES LTDA-ME                  ","GRANITO & OLIVEIRA LTDA                 ","EM ROMANEIO",2022-12-16,,,,16.0
